Interacao,Tempo_execucao,resCode,texto
1,1.3841664791107178,200,"Boa tarde, eu sou a Robô Maria Helena cuidadora digital do admin. Você é o admin?"
2,2.022711992263794,200,"Estou entrando em contato em nome do Grupo de Pesquisa de Voicebot em Saúde. admin, o motivo da chamada é um alerta de sensor em perigo por sobrepeso que detectamos. O atendimento levará alguns minutos, tudo bem?"
3,1.3727009296417236,200,Inicialmente vamos verificar seu estado geral. Você tem sentido cansaço?
4,1.2387206554412842,200,"Certo, o senhor sente dificuldade para comer?"
5,1.2023954391479492,200,"Certo, e falta de vontade de comer?"
6,1.2911734580993652,200,"Certo, e tem inchaço nas pernas?"
7,1.213869333267212,200,"Certo, e falta de ar você tem?"
8,1.38724684715271,200,SYSTEM cansaco=S dificuldadecomer=S faltavontadecomer=S inchacopernas=S faltadear=S
1,1.3672845363616943,200,"Boa tarde, eu sou a Robô Maria Helena cuidadora digital do admin. Você é o admin?"
2,2.0607504844665527,200,"Estou entrando em contato em nome do Grupo de Pesquisa de Voicebot em Saúde. admin, o motivo da chamada é um alerta de sensor em perigo por sobrepeso que detectamos. O atendimento levará alguns minutos, tudo bem?"
3,1.4002737998962402,200,Inicialmente vamos verificar seu estado geral. Você tem sentido cansaço?
4,1.218125581741333,200,"Certo, o senhor sente dificuldade para comer?"
5,1.212043285369873,200,"Certo, e falta de vontade de comer?"
6,1.1912379264831543,200,"Certo, e tem inchaço nas pernas?"
7,1.1993305683135986,200,"Certo, e falta de ar você tem?"
8,1.361576795578003,200,SYSTEM cansaco=S dificuldadecomer=S faltavontadecomer=S inchacopernas=S faltadear=S
1,1.372882604598999,200,"Boa tarde, eu sou a Robô Maria Helena cuidadora digital do admin. Você é o admin?"
2,2.1172449588775635,200,"Estou entrando em contato em nome do Grupo de Pesquisa de Voicebot em Saúde. admin, o motivo da chamada é um alerta de sensor em perigo por sobrepeso que detectamos. O atendimento levará alguns minutos, tudo bem?"
3,1.3432579040527344,200,Inicialmente vamos verificar seu estado geral. Você tem sentido cansaço?
4,1.193420648574829,200,"Certo, o senhor sente dificuldade para comer?"
5,1.3075015544891357,200,"Certo, e falta de vontade de comer?"
6,1.2393887042999268,200,"Certo, e tem inchaço nas pernas?"
7,1.195014238357544,200,"Certo, e falta de ar você tem?"
